City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,sao joao da barra,-21.6403,-41.0511,21.590000000000032,73,51,2.58,BR,1667866508
66,atuona,-9.8,-139.0333,25.03000000000003,69,79,6.05,PF,1667866290
67,kharp,66.8014,65.8081,-7.560000000000002,90,94,3.39,RU,1667866508
68,longyearbyen,78.2186,15.6401,-4.089999999999975,80,75,6.17,SJ,1667866313
69,brae,60.3964,-1.353,11.04000000000002,97,100,9.64,GB,1667866374
70,hamilton,39.1834,-84.5333,15.410000000000025,35,0,3.6,US,1667866231
71,matagami,49.7502,-77.6328,-0.9199999999999591,82,100,6.34,CA,1667866355
72,waipawa,-41.4122,175.5153,16.5,59,4,3.21,NZ,1667866510
73,khatanga,71.9667,102.5,-14.46999999999997,96,100,2.42,RU,1667866281
74,beloha,-25.1667,45.05,22.05000000000001,82,0,1.27,MG,1667866390
75,nemuro,43.3236,145.575,8.189999999999998,62,93,2.11,JP,1667866462
76,hithadhoo,-0.6,73.0833,27.53000000000003,77,60,8.14,MV,1667866511
77,djambala,-2.5447,14.7533,19.54000000000002,94,98,0.5,CG,1667866512
78,changli,39.7042,119.1506,8.170000000000016,60,2,1.2,CN,1667866512
79,vila velha,-20.3297,-40.2925,23.30000000000001,79,39,1.43,BR,1667866513
80,kieta,-6.2167,155.6333,29.600000000000023,70,23,3.19,PG,1667866513
81,karasjok,69.4719,25.5112,-1.3700000000000045,93,89,3.02,NO,1667866514
82,geraldton,-28.7667,114.6,19.230000000000018,77,75,6.69,AU,1667866252
83,tautira,-17.7333,-149.15,24.640000000000043,84,10,5.71,PF,1667866514
84,buala,-8.145,159.5921,28.660000000000025,77,89,3.64,SB,1667866236
85,codrington,-38.2667,141.9667,22.30000000000001,68,3,4.43,AU,1667866515
86,jamestown,42.097,-79.2353,9.770000000000039,60,0,3.6,US,1667866308
87,oskemen,49.9565,82.6119,-1.0199999999999818,100,100,2.0,KZ,1667866516
88,hilo,19.7297,-155.09,27.920000000000016,73,40,4.12,US,1667866452
89,nizhnevartovsk,60.9344,76.5531,-2.9899999999999523,100,100,4.02,RU,1667866517
90,haimen,23.1935,116.6142,21.28000000000003,83,71,3.68,CN,1667866517
91,loikaw,19.6742,97.2094,15.32000000000005,91,4,1.22,MM,1667866518
92,nyurba,63.2842,118.3319,-16.069999999999993,97,98,1.85,RU,1667866519
93,yumen,40.2833,97.2,0.4399999999999977,43,22,0.38,CN,1667866519
94,brazzaville,-4.2658,15.2832,23.720000000000027,84,88,0.42,CG,1667866520
95,jardim,-21.4803,-56.1381,20.52000000000004,52,62,2.41,BR,1667866520
96,vallenar,-28.5708,-70.7581,19.29000000000002,57,99,1.69,CL,1667866521
97,bluff,-46.6,168.3333,18.78000000000003,67,63,2.76,NZ,1667866521
98,sterling,39.0062,-77.4286,21.410000000000025,47,0,2.57,US,1667866522
99,beira,-19.8436,34.8389,25.140000000000043,83,4,3.88,MZ,1667866522
100,east london,-33.0153,27.9116,19.960000000000036,86,100,6.18,ZA,1667866522
101,san jose,37.3394,-121.895,14.82000000000005,65,75,6.17,US,1667865811
102,santa vitoria do palmar,-33.5189,-53.3681,15.29000000000002,81,0,4.48,BR,1667866523
103,ishigaki,24.3448,124.1572,24.53000000000003,82,63,7.6,JP,1667866347
104,srednekolymsk,67.45,153.6833,-21.75999999999999,100,96,3.19,RU,1667866342
105,lavrentiya,65.5833,-171.0,-1.67999999999995,97,100,10.01,RU,1667866343
106,hami,42.8,93.45,6.689999999999998,32,100,0.41,CN,1667866524
107,lorengau,-2.0226,147.2712,30.210000000000036,66,85,2.24,PG,1667866296
108,chuy,-33.6971,-53.4616,14.810000000000002,84,4,4.17,UY,1667866525
109,mehamn,71.0357,27.8492,0.9700000000000273,93,75,2.06,NO,1667866525
110,bredasdorp,-34.5322,20.0403,14.03000000000003,90,29,2.55,ZA,1667866236
111,brokopondo,4.75,-55.1667,24.010000000000048,92,100,2.85,SR,1667866527
112,baherden,38.4362,57.4316,5.430000000000007,59,8,0.64,TM,1667866527
113,yulara,-25.2406,130.9889,30.02000000000004,32,69,5.27,AU,1667866337
114,san patricio,28.017,-97.5169,26.920000000000016,77,4,4.94,US,1667866529
115,katsuura,35.1333,140.3,16.470000000000027,79,13,4.73,JP,1667866530
116,nobres,-14.7203,-56.3275,24.960000000000036,35,0,1.11,BR,1667866530
117,krasnokamensk,50.0979,118.0369,-6.5,87,31,1.01,RU,1667866530
118,puerto ayora,-0.7393,-90.3518,19.75,85,91,1.34,EC,1667866301
119,rantepao,-2.9701,119.8978,23.220000000000027,82,86,0.68,ID,1667866531
120,carolina,18.3808,-65.9574,24.980000000000018,90,96,3.13,PR,1667866531
121,kralendijk,12.15,-68.2667,27.99000000000001,89,20,3.09,BQ,1667866532
122,morondava,-20.2833,44.2833,25.210000000000036,72,17,1.29,MG,1667866532
123,mayumba,-3.432,10.6554,25.04000000000002,90,67,2.68,GA,1667866532
124,dasoguz,41.8363,59.9666,2.9700000000000273,100,100,5.14,TM,1667866533
125,maryville,35.7565,-83.9705,21.720000000000027,89,40,0.0,US,1667866533
126,nueva loja,0.0847,-76.8828,25.220000000000027,74,90,0.18,EC,1667866533
127,paso de carrasco,-34.8603,-56.0522,18.08000000000004,72,0,5.14,UY,1667866534
128,bambous virieux,-20.3428,57.7575,22.140000000000043,88,20,2.06,MU,1667866534
129,la granja,10.4,122.9833,27.950000000000045,77,77,0.93,PH,1667866535
130,yorkton,51.2167,-102.4677,-8.189999999999998,91,100,7.24,CA,1667866502
131,salalah,17.0151,54.0924,24.05000000000001,83,0,1.54,OM,1667866392
132,benavente,42.0025,-5.6783,11.480000000000018,83,70,4.47,ES,1667866535
133,makakilo city,21.3469,-158.0858,29.180000000000007,59,40,8.75,US,1667866475
134,lyuban,52.7985,28.0048,7.8799999999999955,96,100,3.5,BY,1667866536
135,souillac,-20.5167,57.5167,22.129999999999995,80,2,3.55,MU,1667866310
136,korsakov,46.6328,142.7813,0.910000000000025,65,84,2.74,RU,1667866536
137,ostrovnoy,68.0531,39.5131,-0.8799999999999955,94,96,1.95,RU,1667866537
138,cidreira,-30.1811,-50.2056,16.650000000000034,82,34,5.47,BR,1667866537
139,clarence town,-32.5833,151.7833,23.120000000000005,53,15,2.93,AU,1667866538
140,saint-augustin,51.226,-58.6502,10.330000000000041,88,79,9.67,CA,1667866538
141,sorong,-0.8833,131.25,27.310000000000002,81,93,2.44,ID,1667866457
142,mount isa,-20.7333,139.5,33.870000000000005,27,0,3.6,AU,1667866539
143,porto velho,-8.7619,-63.9039,27.620000000000005,45,25,0.29,BR,1667866248
144,fukue,32.6881,128.8419,17.200000000000045,67,0,2.06,JP,1667866539
145,juba,4.8517,31.5825,24.24000000000001,67,98,1.43,SS,1667866400
146,atyrau,47.1167,51.8833,2.0100000000000477,75,75,1.0,KZ,1667866540
147,gat,31.61,34.7642,19.32000000000005,12,3,2.62,IL,1667866314
148,kruisfontein,-34.0033,24.7314,14.100000000000023,83,100,2.35,ZA,1667866541
149,saint-francois,46.4154,3.9054,5.689999999999998,93,0,1.03,FR,1667866480
150,aklavik,68.2191,-135.0107,-17.99999999999997,85,40,1.54,CA,1667866541
151,digora,43.1581,44.1569,0.36000000000001364,75,46,1.1,RU,1667866312
152,ngunguru,-35.6167,174.5,15.650000000000034,97,100,12.19,NZ,1667866542
153,angoche,-16.2325,39.9086,24.29000000000002,81,5,5.08,MZ,1667866543
154,illela,13.7292,5.2975,24.58000000000004,17,24,4.4,NG,1667866543
155,husavik,66.0449,-17.3389,4.230000000000018,93,100,5.47,IS,1667866543
156,adrar,20.5022,-10.0711,24.560000000000002,16,0,3.61,MR,1667866544
157,vao,-22.6667,167.4833,23.590000000000032,85,85,7.76,NC,1667866544
158,dikson,73.5069,80.5464,-14.859999999999957,94,100,4.21,RU,1667866269
159,guiratinga,-16.3494,-53.7583,24.230000000000018,35,12,1.35,BR,1667866367
160,fort nelson,58.8053,-122.7002,-17.809999999999974,100,7,1.2,CA,1667866400
161,garden city,42.3256,-83.331,10.080000000000041,47,75,3.09,US,1667866545
162,arraial do cabo,-22.9661,-42.0278,19.980000000000018,88,75,1.54,BR,1667866545
163,ahipara,-35.1667,173.1667,16.82000000000005,87,90,6.14,NZ,1667866546
164,mahebourg,-20.4081,57.7,22.160000000000025,88,20,2.06,MU,1667866546
165,tuatapere,-46.1333,167.6833,17.82000000000005,52,96,2.13,NZ,1667866546
166,constitucion,-35.3333,-72.4167,12.760000000000048,81,100,4.42,CL,1667866547
167,banjar,-8.19,114.9675,28.010000000000048,75,87,0.8,ID,1667866547
168,emba,48.8264,58.1442,-4.509999999999991,93,20,2.36,KZ,1667866547
169,provideniya,64.3833,-173.3,0.060000000000002274,74,100,8.0,RU,1667866283
170,boyolangu,-8.1181,111.8935,24.720000000000027,90,100,1.38,ID,1667866302
171,volchikha,52.0333,80.3833,-4.099999999999966,85,50,1.38,RU,1667866548
172,la libertad,-2.2333,-80.9,19.620000000000005,81,53,4.25,EC,1667866549
173,morros,-9.4467,-46.3003,23.77000000000004,80,100,0.92,BR,1667866549
174,tuktoyaktuk,69.4541,-133.0374,-17.0,78,20,4.12,CA,1667866550
175,korla,41.7597,86.1469,7.420000000000016,41,93,1.29,CN,1667866258
176,touros,-5.1989,-35.4608,25.720000000000027,75,96,5.08,BR,1667866550
177,nizhniy tsasuchey,50.5167,115.1333,-2.4499999999999886,62,15,2.17,RU,1667866338
178,la ronge,55.1001,-105.2842,-11.879999999999995,79,75,4.63,CA,1667866365
179,avarua,-21.2078,-159.775,24.03000000000003,73,75,3.6,CK,1667866304
180,katherine,-14.4667,132.2667,31.180000000000007,51,25,4.63,AU,1667866506
181,gizo,-8.103,156.8419,28.670000000000016,73,90,3.83,SB,1667866364
182,huai thalaeng,14.997,102.6475,21.200000000000045,80,33,2.78,TH,1667866552
183,kuytun,54.3419,101.5036,-6.259999999999991,91,99,1.98,RU,1667866552
184,lebu,-37.6167,-73.65,12.670000000000016,81,54,4.44,CL,1667866553
